time;LIDL BEŽIGRAD;ŠMARTINSKI PARK;SAVSKO NASELJE 1-ŠMARTINSKA CESTA;ČRNUČE;VILHARJEVA CESTA;MASARYKOVA DDC;POGAČARJEV TRG-TRŽNICA;CANKARJEVA UL.-NAMA;ANTONOV TRG;PRUŠNIKOVA;TEHNOLOŠKI PARK;KOSEŠKI BAJER;TIVOLI;TRŽNICA MOSTE;GRUDNOVO NABREŽJE-KARLOVŠKA C.;LIDL-LITIJSKA CESTA;ŠPORTNI CENTER STOŽICE;ŠPICA;ROŠKA - STRELIŠKA;BAVARSKI DVOR;STARA CERKEV;SITULA;ILIRSKA ULICA;LIDL - RUDNIK;KOPALIŠČE KOLEZIJA;POVŠETOVA - KAJUHOVA;DUNAJSKA C.-PS MERCATOR;CITYPARK;KOPRSKA ULICA;LIDL - VOJKOVA CESTA;POLJANSKA-POTOČNIKOVA;POVŠETOVA-GRABLOVIČEVA;PARK NAVJE-ŽELEZNA CESTA;ZALOG;CESTA NA ROŽNIK;HOFER-KAJUHOVA;DUNAJSKA C.-PS PETROL;STUDENEC;PARKIRIŠČE NUK 2-FF;BRATOVŠEVA PLOŠČAD;KONGRESNI TRG-ŠUBIČEVA ULICA;BS4-STOŽICE;GERBIČEVA - ŠPORTNI PARK SVOBODA;ŽIVALSKI VRT;VOKA - SLOVENČEVA;BTC CITY/DVORANA A;TRNOVO;P+R BARJE;ROŽNA DOLINA-ŠKRABČEVA UL.;KINO ŠIŠKA;BRODARJEV TRG;ZALOŠKA C.-GRABLOVIČEVA C.;DOLENJSKA C. - STRELIŠČE;ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA;SOSESKA NOVO BRDO;TRŽNICA KOSEZE;ALEJA - CELOVŠKA CESTA;MERCATOR CENTER ŠIŠKA;GH ŠENTPETER-NJEGOŠEVA C.;HOFER - POLJE;VIŠKO POLJE;BONIFACIJA;P + R DOLGI MOST;DRAVLJE;POLJE;SUPERNOVA LJUBLJANA - RUDNIK;SREDNJA FRIZERSKA ŠOLA;TRG OF-KOLODVORSKA UL.;TRG MDB;TRŽAŠKA C.-ILIRIJA;PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE;MERCATOR MARKET - CELOVŠKA C. 163;SAVSKO NASELJE 2-LINHARTOVA CESTA;BREG;BTC CITY ATLANTIS;IKEA;MIKLOŠIČEV PARK;BARJANSKA C.-CENTER STAREJŠIH TRNOVO;LEK - VEROVŠKOVA;AMBROŽEV TRG;VOJKOVA - GASILSKA BRIGADA;RAKOVNIK;PREGLOV TRG;PLEČNIKOV STADION
2022-10-22-00-00;6;9;4;18;18;13;1;0;19;9;3;12;8;19;1;9;5;7;0;1;8;5;3;7;5;12;17;3;2;12;5;5;8;8;1;14;3;18;0;18;0;18;20;1;8;13;7;14;0;16;8;6;1;19;8;3;10;15;0;10;11;3;11;9;20;3;19;23;10;1;7;10;8;0;9;5;0;7;12;0;3;17;19;3
2022-10-22-00-05;6;10;4;18;19;13;1;0;19;9;3;12;8;19;1;9;5;7;0;1;7;5;2;7;5;12;17;3;2;13;5;6;8;7;1;14;3;18;0;18;0;18;20;1;8;12;7;14;0;14;8;7;1;19;8;3;10;15;0;10;11;3;11;9;20;3;19;21;10;1;6;10;9;0;9;5;0;7;13;0;3;17;19;3
2022-10-22-00-10;6;10;4;18;19;13;1;0;18;9;3;12;7;19;2;9;5;7;0;1;7;5;2;7;5;11;17;3;2;14;5;6;9;7;1;14;2;18;0;18;0;18;20;1;8;12;7;14;0;13;10;7;1;19;8;3;9;16;1;10;11;3;11;9;20;3;19;19;9;1;5;9;9;0;9;5;1;7;13;0;4;17;19;3
2022-10-22-00-15;6;10;3;18;18;13;1;0;18;9;3;12;6;19;2;9;5;7;2;0;7;5;3;7;5;11;17;3;3;14;5;6;9;7;1;15;2;18;0;18;0;18;20;1;8;12;6;14;0;13;10;7;1;19;8;4;8;17;0;10;11;4;11;9;20;3;18;18;8;1;5;10;9;1;9;5;1;7;13;1;4;17;19;3
2022-10-22-00-20;7;10;3;18;17;12;1;0;17;9;3;12;7;19;2;9;5;7;2;1;6;6;3;7;5;11;17;3;3;13;5;6;9;7;1;15;2;18;0;19;0;18;20;1;8;11;6;14;1;13;10;7;1;19;8;4;8;17;0;10;11;4;11;9;20;3;18;18;7;2;3;12;9;1;9;5;1;7;13;1;4;17;19;3
2022-10-22-00-25;7;10;1;18;16;11;1;0;17;9;3;12;6;20;2;9;5;7;2;1;7;5;4;7;5;11;17;3;4;13;5;6;9;7;1;15;2;18;0;19;0;19;20;1;8;11;8;14;1;12;10;7;1;19;8;4;8;17;1;10;12;4;9;8;20;3;18;18;6;2;3;12;9;1;9;5;1;7;13;1;4;17;19;3
2022-10-22-00-30;7;10;1;18;16;12;1;0;17;11;3;12;6;21;2;9;5;7;2;1;7;5;4;7;5;12;17;5;4;13;5;6;9;7;1;15;0;18;0;19;0;19;20;1;8;11;8;14;1;10;10;8;1;19;9;4;8;17;1;10;12;5;9;8;20;3;18;18;4;2;3;12;9;1;9;5;3;8;13;1;4;17;19;3
2022-10-22-00-35;7;10;1;18;16;11;0;0;18;11;3;12;6;21;3;10;5;7;2;0;7;5;3;7;5;12;17;5;4;13;5;6;8;7;1;15;0;18;0;19;0;19;20;1;8;11;8;14;1;10;10;8;1;19;9;5;7;17;1;10;12;5;9;8;20;3;18;16;5;3;0;12;9;1;7;5;1;7;13;1;5;17;19;3
2022-10-22-00-40;6;10;1;18;16;11;0;0;18;11;3;11;6;21;3;10;5;10;2;0;7;5;0;7;5;12;17;5;4;14;5;6;8;7;1;14;0;18;0;19;0;19;20;1;9;11;8;14;3;10;10;8;1;19;10;5;7;17;1;10;10;5;9;8;20;3;18;16;5;5;0;12;9;1;7;5;1;7;13;1;6;17;20;3
2022-10-22-00-45;7;10;1;18;16;11;0;0;19;11;3;11;5;21;5;10;6;10;2;0;7;5;0;8;5;12;18;5;4;14;5;6;8;7;1;14;0;18;0;19;0;19;20;1;9;11;8;14;1;10;10;8;1;19;10;5;5;17;1;10;10;5;10;9;20;3;18;15;6;5;0;13;9;1;7;5;1;7;13;1;6;17;20;2
2022-10-22-00-50;6;10;1;18;16;11;0;0;19;11;3;11;5;21;5;10;6;10;2;0;7;5;0;8;5;12;16;5;4;16;5;7;8;7;1;14;2;18;0;19;0;19;20;1;9;11;8;14;1;9;11;8;1;19;9;5;6;17;1;10;10;5;11;9;20;3;18;14;6;6;0;13;9;1;7;5;0;6;13;0;5;17;20;2
2022-10-22-00-55;6;10;1;18;15;11;0;0;19;11;3;11;4;21;3;10;6;10;2;0;7;5;0;8;5;12;16;5;4;16;5;7;8;7;1;14;2;18;0;19;0;17;20;1;9;11;9;14;1;10;11;8;1;19;9;5;6;17;1;10;10;7;11;9;20;3;18;10;5;6;0;13;9;1;6;5;0;6;13;0;8;17;20;3
2022-10-22-01-00;7;9;1;18;15;12;0;0;19;11;3;11;4;21;3;10;6;10;2;0;7;5;1;8;5;12;17;5;4;16;5;6;8;7;1;14;2;18;0;19;0;17;20;1;9;11;9;14;1;10;11;8;1;19;9;5;6;17;1;10;10;7;11;9;20;3;18;8;5;6;0;13;10;1;6;5;0;6;13;1;8;17;20;2
2022-10-22-01-05;7;9;1;18;15;10;0;0;19;11;3;11;5;21;3;10;6;10;2;0;5;4;0;8;2;13;18;5;4;18;5;6;8;7;1;14;2;18;0;19;0;17;20;1;9;11;9;14;1;10;11;8;1;19;9;5;6;17;1;10;10;7;11;9;20;3;16;5;5;6;0;14;10;1;6;5;0;6;13;2;8;17;20;2
2022-10-22-01-10;7;9;2;18;15;9;0;0;19;13;3;11;5;21;3;11;6;10;2;0;5;4;0;8;2;13;17;4;4;18;5;8;8;7;1;14;2;18;0;19;0;17;20;1;13;11;9;14;1;11;11;9;1;19;9;5;4;17;0;10;9;7;11;9;20;3;13;4;5;6;1;13;10;1;6;5;0;9;13;2;8;17;20;2
2022-10-22-01-15;4;9;2;19;15;6;0;0;19;14;3;11;5;21;1;11;7;10;2;1;5;4;0;8;2;13;18;4;4;19;5;8;8;7;1;14;2;18;1;19;0;17;20;1;13;11;10;14;2;12;11;10;1;19;9;6;4;17;0;10;9;7;11;9;20;3;13;2;5;6;0;13;10;1;6;5;1;9;13;2;8;17;20;3
2022-10-22-01-20;4;9;2;19;15;5;0;0;20;14;3;11;2;21;1;11;10;10;2;1;5;4;0;8;2;13;18;4;4;19;5;8;8;7;1;14;2;18;0;19;0;17;20;1;13;11;10;14;2;12;11;10;1;19;9;6;4;17;0;10;9;8;11;9;20;3;12;1;6;6;0;13;10;1;6;5;0;10;13;2;8;16;20;4
2022-10-22-01-25;3;9;4;19;15;5;0;0;20;15;3;11;2;21;1;11;10;12;3;1;2;3;0;8;2;13;18;3;4;19;5;10;8;7;2;14;3;18;0;19;0;18;20;1;13;11;10;14;1;13;11;10;1;19;9;6;4;17;0;10;9;8;11;9;20;3;9;0;5;6;3;13;10;1;6;5;0;10;13;1;8;16;20;4
2022-10-22-01-30;3;9;6;19;15;5;0;0;20;15;3;11;2;21;1;11;10;12;3;0;0;3;0;8;2;13;18;3;4;20;5;10;9;7;2;14;3;18;0;19;0;18;20;1;13;11;11;14;0;13;11;10;1;19;9;6;4;17;0;10;9;8;11;9;20;3;9;0;3;7;3;11;10;1;6;5;0;10;12;1;8;16;20;4
2022-10-22-01-35;3;9;6;19;14;2;0;0;20;15;3;11;1;21;1;11;10;12;3;0;0;3;0;8;3;13;18;2;4;19;5;10;9;7;2;14;3;18;0;19;0;18;19;1;13;11;11;14;1;13;11;10;1;19;9;6;4;17;0;10;9;8;11;9;20;3;8;0;3;8;3;11;10;1;6;5;0;11;9;1;8;16;20;4
2022-10-22-01-40;3;7;6;19;13;1;0;0;20;15;3;11;0;21;1;11;11;12;3;0;0;4;0;8;3;13;18;2;5;17;5;8;9;7;2;14;3;18;0;19;0;18;19;1;13;11;12;14;3;13;11;10;1;19;9;7;4;17;0;10;9;9;11;9;20;3;3;0;3;8;2;10;10;1;6;5;0;11;9;1;8;16;20;8
2022-10-22-01-45;3;7;6;19;13;1;0;0;20;15;3;11;0;21;1;13;11;15;2;4;0;4;0;8;4;13;18;2;5;17;5;8;9;7;2;15;4;18;0;19;0;18;19;1;13;11;12;14;5;13;11;10;1;19;9;8;5;17;0;10;9;9;11;9;20;3;3;0;0;8;0;10;10;1;6;5;0;11;8;1;8;16;20;9
2022-10-22-01-50;3;7;5;19;13;0;0;0;19;15;3;11;0;21;1;13;11;15;2;3;0;4;1;8;4;13;18;2;5;17;5;8;9;7;2;15;2;18;0;19;0;19;19;1;13;11;12;14;6;13;11;10;1;19;9;8;5;17;0;10;9;9;11;9;20;3;2;2;0;9;0;10;10;1;6;5;0;11;7;1;8;17;20;13
2022-10-22-01-55;3;7;5;19;12;0;0;0;19;15;3;11;0;21;1;13;11;15;2;2;0;4;1;8;4;13;18;2;5;18;5;8;9;7;2;15;2;18;0;19;0;19;18;1;13;11;12;14;5;13;12;13;1;19;10;8;5;17;0;10;11;9;11;9;20;3;1;2;0;9;0;10;10;1;6;5;0;11;7;1;8;17;20;13
2022-10-22-02-00;3;7;4;19;13;0;0;0;19;15;3;11;0;21;1;13;11;14;4;2;0;4;1;8;4;13;18;2;5;18;5;8;9;7;2;17;2;18;0;19;0;19;18;1;13;11;12;14;5;12;12;13;1;19;10;8;5;17;0;10;11;9;11;9;20;3;1;2;0;9;0;10;10;1;6;5;0;11;7;1;8;17;20;10
2022-10-22-02-05;3;7;4;19;13;0;0;0;19;15;3;11;0;21;2;13;13;14;4;2;0;4;1;8;4;13;18;2;5;18;5;8;9;7;2;18;2;18;0;19;0;19;18;1;13;10;12;14;5;11;12;12;1;19;10;8;5;17;0;11;11;9;11;9;20;3;1;2;0;9;0;10;10;1;6;5;0;11;7;1;8;17;20;10
2022-10-22-02-10;2;7;4;19;13;1;0;0;19;15;3;11;0;21;2;13;13;14;4;4;0;3;1;8;4;14;18;2;5;18;5;8;9;7;2;20;2;18;0;19;0;19;18;1;13;10;12;14;4;11;12;12;1;19;10;8;5;17;0;11;12;9;11;9;20;3;1;2;0;9;0;10;10;1;6;5;0;11;7;1;8;17;20;10
2022-10-22-02-15;2;8;4;19;13;0;0;0;19;16;3;11;0;21;2;13;13;14;4;3;0;4;0;8;4;15;18;2;5;18;5;8;9;7;2;20;1;18;0;19;0;19;18;1;14;10;12;14;4;11;12;12;1;19;10;8;5;17;0;11;12;9;11;9;20;3;1;0;0;9;0;11;10;0;6;5;0;11;7;1;8;17;19;10
2022-10-22-02-20;2;8;4;19;12;0;0;0;19;16;3;11;0;21;0;13;14;14;4;1;0;4;0;8;4;15;18;2;5;18;6;8;9;7;2;20;0;18;0;19;0;19;18;1;14;10;12;14;3;12;12;12;2;19;10;8;5;15;0;11;13;9;11;9;20;3;1;0;0;9;0;11;10;0;6;5;0;11;7;1;8;17;19;10
2022-10-22-02-25;2;8;4;19;11;0;0;0;19;16;3;11;0;21;0;13;15;14;4;1;0;4;0;8;4;15;18;2;5;18;6;8;9;7;2;20;0;18;0;19;0;19;18;1;14;10;12;14;3;12;12;12;2;19;10;8;5;15;0;11;13;9;11;9;20;3;1;0;0;8;0;11;9;0;6;5;0;11;7;1;8;17;19;10
2022-10-22-02-30;2;8;5;19;11;0;0;0;19;16;3;11;0;21;0;13;15;14;4;1;0;4;1;8;4;15;18;3;5;19;6;9;9;7;2;20;0;19;0;19;0;19;18;1;15;10;12;14;3;12;12;12;2;19;10;8;5;15;0;11;13;9;11;9;20;3;1;0;0;10;0;11;9;2;6;5;0;11;7;1;8;17;19;10
2022-10-22-02-35;1;9;5;20;11;0;0;0;19;16;3;11;0;21;0;13;15;14;4;1;0;4;1;8;4;15;18;3;5;19;6;9;9;7;2;20;0;19;0;19;0;20;18;1;15;10;12;14;3;11;12;12;2;19;10;8;5;15;0;11;13;9;10;9;20;3;0;0;0;13;0;12;9;2;6;8;0;11;7;0;8;17;19;10
2022-10-22-02-40;0;9;5;20;10;0;0;0;19;16;3;11;0;21;0;13;15;14;4;1;0;3;0;8;4;15;18;2;5;19;6;9;9;7;2;20;0;19;0;19;0;20;19;1;15;10;12;14;3;12;12;12;2;19;10;8;5;15;0;13;13;9;11;9;20;3;0;0;0;13;0;12;9;1;6;8;0;11;7;0;8;17;19;10
2022-10-22-02-45;0;9;5;20;9;0;0;0;19;16;3;11;0;21;0;13;15;15;4;1;0;3;0;8;4;15;18;2;5;19;6;9;9;7;2;20;0;19;0;19;0;20;19;1;15;10;12;14;3;13;12;12;3;19;10;8;5;15;0;13;13;11;11;8;20;3;0;0;1;13;0;12;9;1;6;8;0;11;7;0;6;17;19;10
2022-10-22-02-50;0;9;5;20;7;0;0;0;19;16;3;11;0;21;0;13;15;15;4;1;0;3;0;8;4;16;18;2;5;19;6;9;9;7;2;20;0;19;1;19;0;20;19;1;15;11;12;14;3;15;12;12;3;19;10;9;5;14;0;13;13;11;11;9;20;3;0;0;0;14;0;7;9;1;6;8;0;11;7;0;6;17;19;10
2022-10-22-02-55;0;9;5;20;4;0;0;0;19;16;4;11;0;21;0;13;15;15;4;4;0;3;0;8;4;16;18;2;5;19;6;9;9;7;2;20;0;19;1;19;0;20;19;1;15;11;12;14;4;16;12;13;3;19;10;9;5;14;1;13;13;11;11;9;20;3;0;0;0;13;0;7;9;1;6;8;0;11;7;0;7;17;19;9
2022-10-22-03-00;0;9;5;20;4;0;0;0;19;16;4;11;0;21;0;13;15;15;4;1;0;3;0;8;4;16;18;2;5;19;6;9;9;7;2;20;0;19;1;19;0;20;19;1;15;10;12;14;2;16;12;13;3;19;10;9;5;14;1;13;14;12;11;9;20;3;0;0;0;13;0;7;9;1;6;8;0;11;7;0;7;17;19;9
2022-10-22-03-05;0;9;5;20;4;0;0;0;19;16;4;11;0;21;0;13;15;15;4;1;0;2;0;8;4;17;18;2;5;19;6;9;9;7;2;20;0;19;1;19;0;20;19;1;15;10;12;14;2;16;12;13;3;19;10;9;5;14;1;13;14;12;11;9;20;3;0;0;0;12;0;7;9;1;6;8;0;11;7;0;9;17;19;9
2022-10-22-03-10;0;9;5;20;4;0;0;0;19;16;7;11;0;21;0;13;17;15;4;1;0;2;0;8;4;17;18;2;5;19;5;9;8;7;2;20;0;19;1;19;0;20;19;1;15;10;12;14;2;16;12;13;3;19;10;9;5;14;1;13;14;12;11;9;20;3;0;0;1;12;0;7;13;0;6;8;0;11;7;0;7;17;19;9
2022-10-22-03-15;0;9;5;20;4;0;0;0;19;16;7;11;0;21;0;13;18;15;4;1;0;2;0;8;5;17;18;3;5;19;3;9;8;7;2;20;0;19;1;19;0;20;19;1;15;10;12;14;2;16;12;13;3;19;10;10;5;;2;13;14;12;12;9;20;3;0;0;1;12;0;7;13;0;6;8;0;11;7;0;6;17;19;9
2022-10-22-03-20;0;9;5;20;4;0;0;0;19;16;7;11;0;20;0;14;19;15;4;1;0;2;0;8;5;17;18;3;5;19;3;9;7;7;2;20;0;19;0;19;0;20;19;1;15;10;12;14;2;16;12;14;3;19;10;10;5;14;2;13;14;12;12;9;20;3;0;0;1;13;0;7;13;0;6;8;0;11;7;0;6;17;19;9
2022-10-22-03-25;0;9;5;20;4;0;0;0;19;16;7;11;0;20;0;16;19;15;4;1;0;1;0;8;5;17;18;3;5;19;3;9;7;7;2;20;0;19;0;19;0;20;19;1;15;10;12;14;1;16;12;14;3;19;10;10;5;14;2;13;14;12;12;9;20;4;0;0;0;13;0;6;14;0;6;8;0;11;7;0;6;17;19;8
2022-10-22-03-30;0;9;5;20;3;0;0;0;19;16;7;11;0;20;0;16;19;15;4;1;0;1;0;8;5;17;18;3;5;19;3;9;7;7;2;20;0;19;0;19;0;20;19;1;15;10;12;14;0;16;12;14;3;19;10;10;5;14;2;13;14;13;12;9;20;4;0;0;0;13;0;7;14;0;6;8;0;11;7;0;6;17;19;8
2022-10-22-03-35;0;9;5;20;3;0;0;0;19;16;7;11;0;20;0;16;19;15;4;1;0;1;5;8;5;17;18;3;5;19;3;9;7;7;2;20;0;19;0;19;0;20;19;1;15;10;12;14;0;15;12;13;3;19;10;10;5;15;1;13;14;13;12;9;20;4;0;0;0;13;0;6;15;1;6;8;0;11;7;0;6;17;19;8
2022-10-22-03-40;0;9;5;20;3;0;0;0;19;16;7;11;0;20;0;16;19;15;4;1;0;1;5;8;5;17;18;3;5;20;3;9;7;7;2;20;0;19;0;19;0;20;19;1;15;10;12;14;0;15;12;13;3;19;10;10;5;15;1;13;14;13;12;9;20;4;0;0;0;13;0;5;15;1;6;8;0;11;7;0;6;17;19;8
2022-10-22-03-45;0;9;5;20;3;1;0;0;19;16;7;11;0;21;0;16;19;15;4;1;0;1;5;8;5;18;18;3;5;20;3;9;7;7;2;20;0;19;0;19;0;20;18;1;15;10;12;14;0;15;12;12;4;19;10;10;6;15;0;13;14;13;12;9;20;4;0;0;0;13;0;5;15;2;6;8;0;11;7;0;6;17;19;8
2022-10-22-03-50;0;9;5;20;3;0;0;0;19;16;7;11;0;21;0;15;19;15;4;1;0;1;4;8;5;18;17;3;5;20;3;9;7;7;1;20;0;19;0;19;0;20;18;1;15;10;12;14;0;15;12;12;4;19;10;10;6;15;0;13;14;13;12;9;20;4;0;0;0;13;0;5;15;2;6;8;0;11;7;0;6;17;19;8
2022-10-22-03-55;0;9;5;20;2;0;0;0;19;16;7;11;0;21;0;15;19;15;4;1;0;1;4;8;5;18;17;3;5;20;3;9;7;7;1;20;0;19;0;19;0;20;18;1;15;10;12;14;0;15;12;12;4;19;10;11;6;15;0;13;14;13;12;9;20;4;0;0;0;13;0;5;15;1;6;8;0;11;7;0;7;17;19;7
2022-10-22-04-00;0;9;5;20;2;0;0;0;19;16;7;11;0;21;0;15;19;15;4;2;0;1;4;8;5;18;18;3;5;20;3;9;6;7;0;20;0;19;0;19;0;20;18;1;15;10;12;14;0;15;12;12;4;19;10;11;6;15;0;13;14;13;12;9;20;4;0;0;0;13;0;5;15;1;6;8;0;11;7;0;7;18;19;7
2022-10-22-04-05;0;9;5;20;2;0;0;0;19;16;7;11;0;21;0;15;19;15;4;1;0;1;3;8;5;19;18;3;5;20;4;9;6;7;0;20;0;19;0;19;0;20;18;1;16;10;11;14;0;15;12;12;4;19;10;11;6;15;0;13;14;13;12;9;20;4;0;0;0;13;0;5;16;1;6;8;0;11;7;0;7;18;19;7
2022-10-22-04-10;0;9;5;20;1;0;0;0;19;16;6;11;1;21;0;15;21;15;4;1;0;1;2;8;5;19;18;3;5;20;4;9;6;7;0;20;0;19;0;19;0;20;18;1;16;10;11;14;0;15;12;12;4;19;10;11;6;15;0;13;14;14;12;9;20;4;0;0;0;13;0;5;16;0;6;8;;11;7;0;7;18;19;7
2022-10-22-04-15;0;9;5;20;1;0;0;0;19;16;6;11;1;21;0;15;21;16;4;1;0;1;2;8;5;19;18;3;5;20;5;9;6;7;0;20;0;19;0;19;0;20;18;1;16;10;11;14;0;15;12;12;4;19;11;11;6;15;0;13;14;14;12;9;20;4;0;0;0;13;0;5;16;0;6;8;0;11;7;0;7;18;19;7
2022-10-22-04-20;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;15;21;16;4;2;0;1;2;8;5;19;17;3;5;20;5;9;6;7;0;20;0;19;1;19;0;20;18;1;16;10;11;14;0;15;12;12;4;19;11;11;6;15;0;13;14;14;12;9;20;4;0;0;0;13;0;6;16;0;6;8;0;11;7;0;7;19;19;7
2022-10-22-04-25;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;15;20;16;4;1;0;1;1;8;5;19;15;3;5;20;5;9;6;7;0;20;0;19;1;19;0;20;18;1;16;10;11;14;0;15;12;12;4;19;11;11;6;15;0;13;14;14;12;9;20;4;0;0;0;13;0;6;16;0;6;8;0;11;7;0;7;19;19;7
2022-10-22-04-30;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;15;20;16;4;1;0;1;1;8;5;19;15;3;5;20;5;9;6;7;0;20;0;19;1;19;0;20;18;1;16;10;12;14;0;15;12;11;4;19;11;11;6;15;0;13;14;14;12;9;20;4;0;1;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;7
2022-10-22-04-35;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;14;20;16;4;1;0;1;1;8;5;19;16;3;5;20;5;9;6;7;0;20;0;19;1;19;0;20;18;1;16;10;12;14;0;15;12;11;4;19;11;11;6;15;0;13;14;14;12;9;20;4;0;1;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;4
2022-10-22-04-40;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;14;20;16;4;1;0;4;1;8;5;19;18;3;5;20;5;9;6;7;0;20;0;19;1;19;0;20;18;1;16;10;12;14;0;14;12;11;4;19;11;11;8;15;0;13;14;14;12;9;20;4;0;1;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;3
2022-10-22-04-45;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;14;20;15;4;1;0;4;1;8;5;18;18;3;5;20;6;9;6;7;0;20;1;19;0;19;0;20;18;1;16;10;12;14;0;14;12;12;4;19;11;11;8;15;0;13;14;14;12;9;20;4;0;1;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;4
2022-10-22-04-50;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;14;20;15;4;1;0;4;1;8;5;18;18;3;5;20;6;9;6;7;0;20;1;19;0;19;0;20;18;1;16;10;12;14;0;14;12;13;4;19;11;11;8;15;0;13;14;14;12;9;20;4;0;0;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;5
2022-10-22-04-55;0;9;6;20;0;0;0;0;19;16;6;11;1;21;0;14;20;15;4;1;0;4;0;8;5;18;18;3;5;20;6;9;6;7;0;20;1;19;0;19;0;20;18;1;16;10;12;14;0;14;12;13;4;19;11;11;9;15;3;13;14;14;12;9;20;4;0;0;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;5
2022-10-22-05-00;0;9;6;20;0;0;0;0;19;16;6;11;0;21;0;15;20;15;4;1;0;4;0;8;5;18;18;3;5;20;6;9;6;7;0;20;0;19;0;19;0;20;18;1;16;10;12;14;0;14;12;14;4;19;11;11;9;15;3;13;14;14;12;9;20;4;0;0;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;5
2022-10-22-05-05;0;9;6;20;0;0;0;0;19;16;6;11;0;20;0;15;20;15;4;1;0;4;0;8;5;18;18;3;5;20;6;9;6;7;0;20;0;19;0;19;0;20;18;1;16;10;12;14;0;14;12;14;4;19;11;11;9;15;3;13;12;14;12;9;20;4;0;0;0;13;0;6;16;0;6;8;0;11;7;0;6;18;19;5
2022-10-22-05-10;0;9;6;20;0;0;0;0;19;16;6;11;0;20;0;15;20;15;4;1;0;4;0;8;5;17;18;3;5;20;6;9;6;7;0;20;0;19;0;19;0;20;19;1;16;10;12;14;0;14;12;14;4;19;11;10;9;15;3;13;11;14;12;9;20;4;0;0;0;12;0;7;16;0;7;8;0;11;7;0;6;18;19;5
2022-10-22-05-15;0;9;6;20;0;0;0;0;19;16;6;11;0;20;0;15;20;15;4;1;0;4;0;8;5;17;18;3;5;20;6;9;6;7;0;20;0;19;0;19;0;20;19;1;17;10;12;14;1;14;12;14;3;19;11;10;9;15;3;13;11;14;12;9;20;4;0;0;0;12;0;7;16;0;7;8;0;11;7;0;6;18;19;5
2022-10-22-05-20;0;9;6;20;0;1;0;0;19;16;6;11;0;20;0;15;20;15;4;1;0;4;0;8;5;17;18;3;5;20;6;8;6;7;0;20;0;19;0;19;0;20;19;1;17;10;12;14;4;14;12;14;3;19;11;10;9;15;3;13;11;14;12;9;20;4;0;1;0;12;0;7;16;0;7;8;0;11;7;0;6;18;19;5
2022-10-22-05-25;0;9;6;20;0;1;0;0;19;16;7;11;0;20;0;15;20;15;4;1;0;4;0;8;5;17;18;3;5;20;6;8;6;7;0;20;0;19;0;19;0;20;19;1;17;10;12;14;4;14;12;14;3;19;11;10;9;15;3;13;11;14;12;9;20;4;0;0;0;12;0;7;16;0;7;8;0;11;7;0;6;18;19;5
2022-10-22-05-30;0;9;6;20;0;1;0;0;19;16;7;11;0;20;0;15;20;15;4;1;0;4;0;8;5;17;18;3;5;20;6;8;6;7;0;20;0;19;0;19;0;20;19;1;17;10;12;14;3;14;12;14;3;19;11;10;9;15;3;13;11;14;12;9;20;4;0;0;0;12;0;7;16;0;7;8;0;11;7;0;5;18;19;5
2022-10-22-05-35;0;9;6;20;0;1;0;0;19;15;7;11;0;20;0;15;20;15;4;2;0;4;0;8;5;17;18;3;5;20;6;8;6;7;0;20;0;19;0;19;0;20;19;1;17;10;12;14;3;14;12;14;3;19;11;10;9;15;3;13;11;14;12;9;20;4;0;0;0;12;0;7;16;0;8;8;0;11;7;0;5;18;19;6
2022-10-22-05-40;0;9;6;20;0;0;0;0;19;15;7;11;0;20;0;15;20;15;4;2;0;4;0;8;5;17;18;3;5;20;6;8;6;7;0;20;0;19;0;19;0;20;19;1;17;10;12;14;3;14;12;14;3;19;11;10;9;15;3;13;11;14;12;9;20;4;0;0;0;12;0;7;16;0;8;8;0;11;7;0;5;18;19;5
2022-10-22-05-45;0;9;6;20;0;0;0;0;19;15;7;11;0;20;0;15;20;15;4;2;0;4;0;8;5;17;18;3;5;20;6;7;6;7;0;20;0;18;0;19;0;20;19;1;17;10;12;14;3;14;12;14;3;19;12;10;9;15;3;13;11;14;12;9;20;4;0;0;0;12;0;7;15;0;8;8;0;11;7;0;5;18;19;5
